filename,rg_med,rg_ts,rg_ts_h,rg_ts_l,io_med,io_ts,Vp,mass_vp,porod_poly,porod_ts,porod_ts_h,porod_ts_l,rc_med,rc_std_err_med,rad_rat,elong,vc,rgvc,N,M
SASBDB_protein_dat\SASDDT2.dat,35.53,24.5,23.71,25.23,621.68,559.62,54385.5,45.14,2.83,2.29,0.79,3.84,24.516,12.372,0.999347365,FALSE,350.36,22.92,470,52.64
SASBDB_protein_dat\SASDDT4.dat,30.2,26.52,26.22,26.84,426.35,414.77,106524.95,88.42,3.19,3.28,3.21,3.36,8.67,5.728,3.058823529,TRUE,429.04,25.37,632,70.78
SASBDB_protein_dat\SASDDT6.dat,36.46,36.03,35.92,36.13,0.12,0.13,224119.56,186.02,2.63,2.72,2.64,2.78,14.883,6.792,2.420882887,FALSE,692.67,32.23,1274,142.69
SASBDB_protein_dat\SASDDT9.dat,36.44,36.35,36.23,36.46,8530.23,8731.67,332694.22,276.14,2.87,3,2.92,3.06,19.118,6.085,1.901349514,FALSE,812.72,34.92,1609,180.21
SASBDB_protein_dat\SASDDU2.dat,25.82,24.87,24.74,25,0,0,0,0,2.42,2.49,2.45,2.54,12.95,5.357,1.92046332,FALSE,0,0,0,0
SASBDB_protein_dat\SASDDU4.dat,28.41,27.4,27.25,27.56,1.07,1.07,109973.54,91.28,3.05,3.1,3.03,3.2,8.277,5.788,3.310378156,TRUE,436.3,25.58,648,72.58
SASBDB_protein_dat\SASDDU5.dat,53.73,53.13,52.7,53.56,0.29,0.31,771586.19,640.42,2.61,2.63,2.56,2.71,24.221,10.097,2.193551051,FALSE,1469.92,46.96,3827,428.62
SASBDB_protein_dat\SASDDU6.dat,36.51,36.47,36.41,36.54,0.28,0.28,215842.87,179.15,2.66,2.82,2.72,2.88,11.636,6.565,3.13423857,TRUE,678.73,31.91,1237,138.54
SASBDB_protein_dat\SASDDU9.dat,29.98,31.78,31.36,32.16,9117.93,10562.04,153866.01,127.71,2.1,2.13,2.08,2.18,15.409,5.037,2.062431047,FALSE,524.21,28.04,848,94.98
SASBDB_protein_dat\SASDDV2.dat,23.22,23.22,23.09,23.37,494.04,532.09,67050.27,55.65,2.53,2.7,2.6,2.8,13.798,5.633,1.682852587,FALSE,331.4,22.3,434,48.61
SASBDB_protein_dat\SASDDV4.dat,29.26,27.34,27.13,27.51,507.9,499.09,112946.23,93.75,3.21,3.13,3.05,3.23,8.673,5.888,3.152311772,TRUE,431.28,25.43,637,71.34
SASBDB_protein_dat\SASDDV5.dat,32.28,32.27,32.11,32.51,0.07,0.07,250885.33,208.23,3.44,3.59,3.43,3.77,13.873,6.425,2.32610106,FALSE,683.47,32.02,1249,139.89
SASBDB_protein_dat\SASDDV6.dat,36.99,36.63,36.54,36.71,0.28,0.28,217814.2,180.79,2.66,2.78,2.7,2.86,11.542,6.504,3.173626754,TRUE,681.36,31.97,1244,139.33
SASBDB_protein_dat\SASDDW2.dat,34.86,32.75,31.13,34.4,11277.87,11115.64,102416.17,85.01,2.62,1.77,1.21,2.65,23.023,10.327,1.422490553,FALSE,442.59,25.77,662,74.14
SASBDB_protein_dat\SASDDW4.dat,46.78,48.8,48.24,49.29,54.6,60,422774.62,350.9,2.05,2.11,2.06,2.16,20.239,8.155,2.411186323,FALSE,1022.39,39.16,2251,252.11
SASBDB_protein_dat\SASDDW5.dat,32.64,32.6,32.47,32.7,0.07,0.07,239501.04,198.79,3.31,3.47,3.33,3.65,15.276,6.218,2.13406651,FALSE,658.97,31.44,1184,132.61
SASBDB_protein_dat\SASDDW6.dat,36.76,36.66,36.57,36.73,0.28,0.28,218668.7,181.5,2.65,2.77,2.7,2.86,11.97,6.912,3.062656642,TRUE,682.43,31.99,1247,139.66
SASBDB_protein_dat\SASDDW8.dat,29.91,22.01,20.76,23.62,0.37,0.32,22137.55,18.37,2.47,2.43,2.06,2.71,6.714,3.735,3.278224605,TRUE,234.35,18.75,261,29.23
SASBDB_protein_dat\SASDDX2.dat,35.61,32.82,30.65,34.19,0,0,0,0,2.65,1.7,1.58,1.83,21.464,10.464,1.529071934,FALSE,0,0,0,0
SASBDB_protein_dat\SASDDX4.dat,42.95,18.93,18.41,19.43,1371.51,1156.92,22947.25,19.05,2.42,2.3,1.8,2.91,27.923,25.009,0.677935752,FALSE,215.49,17.98,231,25.87
SASBDB_protein_dat\SASDDX6.dat,36.71,36.71,36.65,36.78,0.28,0.28,223707.66,185.68,2.64,2.77,2.69,2.85,12.46,6.995,2.946227929,FALSE,689.09,32.15,1264,141.57
SASBDB_protein_dat\SASDDX8.dat,16.39,12.95,11.54,14.47,1.36,1.26,25074.92,20.81,2.9,2.83,2.6,3.05,5.991,2.95,2.161575697,FALSE,191.21,16.94,194,21.73
SASBDB_protein_dat\SASDDY2.dat,33.65,37.04,36.79,37.17,15.33,17.37,235153.61,195.18,2.91,3.02,2.94,3.12,15.862,8.612,2.335140588,FALSE,724.62,32.97,1361,152.43
SASBDB_protein_dat\SASDDY4.dat,22.37,20.58,20.47,20.7,21.38,22.27,29866.19,24.79,2.41,2.07,2.01,2.15,10.296,3.355,1.998834499,FALSE,228.53,18.51,252,28.22
SASBDB_protein_dat\SASDDY5.dat,52.16,59.05,56.97,61.09,0.04,0.04,594538.21,493.47,2.17,2.5,1.18,7.4,19.729,17.266,2.993055908,FALSE,1063.39,39.94,2384,267.01
SASBDB_protein_dat\SASDDY6.dat,37.24,36.76,36.69,36.85,0.28,0.28,227222.51,188.59,2.6,2.72,2.64,2.8,12.634,7.587,2.909608992,FALSE,692.97,32.24,1275,142.8
SASBDB_protein_dat\SASDDY9.dat,39.54,42.11,42.05,42.15,133.15,144.33,481871.27,399.95,3.15,3.29,3.16,3.42,14.534,9.054,2.897344159,FALSE,1081.19,40.27,2443,273.62
SASBDB_protein_dat\SASDDZ2.dat,43.09,47.61,47.35,47.76,37.36,41.96,427601.03,354.91,2.44,2.49,2.43,2.54,16.447,10.534,2.894752842,FALSE,1036.08,39.42,2295,257.04
SASBDB_protein_dat\SASDDZ5.dat,51.52,54.38,49.36,58.16,0.08,0.09,492778.69,409.01,2.57,2.16,1.62,2.84,22.781,12.145,2.38707695,FALSE,1016.74,39.05,2233,250.1
SASBDB_protein_dat\SASDDZ6.dat,37.5,37.01,36.89,37.15,0.28,0.28,232670.1,193.12,2.56,2.67,2.58,2.75,14.424,8.052,2.565862451,FALSE,698.88,32.38,1291,144.59
SASBDB_protein_dat\SASDDZ8.dat,74.24,92.25,65.62,93.68,0.48,0.63,5384021.61,4468.74,3.44,3.74,3.54,3.94,28.495,23.221,3.237410072,TRUE,4915.9,85.87,22358,2504.1
SASBDB_protein_dat\SASDDZ9.dat,50.5,41.54,41.48,41.6,164.44,161.01,445522.54,369.78,3.08,3.19,3.09,3.3,11.711,7.942,3.547092477,TRUE,1025.96,39.23,2263,253.46
SASBDB_protein_dat\SASDE22.dat,53.33,45.3,44.97,45.77,53.61,53.58,498462.8,413.72,2.67,2.79,2.69,2.91,22.624,25.355,2.002298444,FALSE,1091.31,40.46,2476,277.31
SASBDB_protein_dat\SASDE23.dat,50.48,27.64,26.53,28.72,89.94,84.38,38178.5,31.69,2.23,1.48,1.16,1.96,26.317,35.165,1.050271688,FALSE,282.05,20.57,343,38.42
SASBDB_protein_dat\SASDE24.dat,20.45,20.04,19.94,20.14,14.02,14.42,35948.38,29.84,2.46,2.39,2.34,2.44,10.831,2.704,1.850244668,FALSE,239.61,18.96,270,30.24
SASBDB_protein_dat\SASDE25.dat,21.02,19.55,18.74,20.07,0.05,0.05,54338.18,45.1,3.47,nan,nan,nan,8.535,4.859,2.290568248,FALSE,263.29,19.87,310,34.72
SASBDB_protein_dat\SASDE26.dat,37.35,37.11,36.99,37.23,0.1,0.1,274592.73,227.91,2.55,2.58,2.54,2.63,16.886,7.649,2.19767855,FALSE,744.73,33.42,1416,158.59
SASBDB_protein_dat\SASDE28.dat,21.11,20.14,19.86,20.41,11.05,11.25,29808.16,24.74,2.38,1.97,1.9,2.07,10.712,4.433,1.880134429,FALSE,212.37,17.85,226,25.31
SASBDB_protein_dat\SASDE29.dat,29.99,29.48,29.21,29.83,81.27,80.7,103676.4,86.05,2.36,2.38,2.33,2.44,11.949,5.869,2.467152063,FALSE,437.59,25.62,651,72.91
SASBDB_protein_dat\SASDE32.dat,17.72,17.68,17.55,17.82,15.04,15.18,23702.93,19.67,2.5,2.51,2.46,2.58,8.635,3.048,2.047481181,FALSE,191.15,16.93,194,21.73
SASBDB_protein_dat\SASDE33.dat,51.8,31.21,30.08,32.26,796.02,748.79,53176.74,44.14,2.37,1.64,1.53,1.78,24.604,22.936,1.268492928,FALSE,322.28,21.99,416,46.59
SASBDB_protein_dat\SASDE34.dat,23.09,15.58,15.3,15.83,5.62,5.28,18897.54,15.68,2.71,3.65,3.28,4.06,10.601,3.767,1.469672672,FALSE,179.97,16.43,178,19.94
SASBDB_protein_dat\SASDE35.dat,25.07,23.31,22.55,23.93,0.19,0.19,78594.58,65.23,3.2,1.43,1.43,1.43,12.968,1.444,1.797501542,FALSE,358.42,23.19,486,54.43
SASBDB_protein_dat\SASDE36.dat,68.84,60.48,60.38,60.62,14851.48,15466.7,1132149.38,939.68,2.79,2.87,2.81,2.93,17.319,14.747,3.492118483,TRUE,1892.81,53.28,5539,620.37
SASBDB_protein_dat\SASDE37.dat,63.09,54.43,48.99,59.85,0.05,0.05,391130.92,324.64,1.37,1.67,0.81,2.47,21.055,17.563,2.585134172,FALSE,916.2,37.07,1918,214.82
SASBDB_protein_dat\SASDE38.dat,23.22,21.14,20.83,21.5,10.48,10.72,31687.23,26.3,2.54,1.93,1.84,2.01,11.2,3.974,1.8875,FALSE,222.37,18.26,242,27.1
SASBDB_protein_dat\SASDE39.dat,32.3,31.73,31.4,32.03,34.71,34.55,110083.16,91.37,1.95,1.98,1.95,2.02,11.609,6.262,2.733224223,FALSE,443.33,25.79,664,74.37
SASBDB_protein_dat\SASDE42.dat,18.09,18.06,17.9,18.22,15.51,15.64,24412.83,20.26,2.37,2.35,2.28,2.4,8.801,2.666,2.052039541,FALSE,193.01,17.02,197,22.06
SASBDB_protein_dat\SASDE43.dat,39.15,29.08,28.33,29.93,339.66,324.96,44477.78,36.92,2.41,1.44,1.18,1.66,18.047,13.381,1.611348147,FALSE,302.84,21.31,380,42.56
SASBDB_protein_dat\SASDE44.dat,16.51,15.55,15.43,15.67,7.28,7.33,15692.46,13.02,2.45,3.21,3.08,3.35,9.457,3.732,1.644284657,FALSE,175.54,16.23,171,19.15
SASBDB_protein_dat\SASDE45.dat,31.66,30.28,29.24,31.05,0.5,0.5,151418.09,125.68,2.76,nan,nan,nan,18.813,0.918,1.609525328,FALSE,528.33,28.15,857,95.98
SASBDB_protein_dat\SASDE46.dat,54.55,60.35,60.19,60.46,12416.89,13830.14,1124739.93,933.53,2.82,2.9,2.84,2.97,15.886,15.037,3.798942465,TRUE,1914.66,53.59,5633,630.9
SASBDB_protein_dat\SASDE47.dat,36.36,35.78,35.5,36.03,270.96,267.18,294387.42,244.34,3.25,3.38,3.25,3.52,14.747,8.352,2.426256188,FALSE,783.11,34.27,1524,170.69
SASBDB_protein_dat\SASDE48.dat,15.36,15.01,14.95,15.07,0.01,0.01,11071.4,9.19,2.58,2.8,2.73,2.87,7.157,2.309,2.09724745,FALSE,107.52,12.7,84,9.41
SASBDB_protein_dat\SASDE49.dat,31.03,30.92,30.75,31.09,553.86,557.96,111530.7,92.57,2.17,2.22,2.18,2.27,12.29,5.707,2.515866558,FALSE,453.31,26.08,685,76.72
SASBDB_protein_dat\SASDE52.dat,51.31,49.66,49.28,49.93,0.04,0.04,611398.49,507.46,2.92,2.96,2.88,3.04,23.631,9.87,2.101476874,FALSE,1237.04,43.08,2974,333.09
SASBDB_protein_dat\SASDE53.dat,49.86,22.06,20.91,23.48,1072.59,851.67,20613.26,17.11,2.44,1.88,1.18,2.86,33.473,32.098,0.659038628,FALSE,211.86,17.83,225,25.2
SASBDB_protein_dat\SASDE54.dat,16.84,15.91,15.82,16.01,8.21,8.2,22835.46,18.95,2.78,3.26,3.09,3.4,10.159,3.065,1.566099025,FALSE,180.96,16.48,179,20.05
SASBDB_protein_dat\SASDE56.dat,61,57.47,57.31,57.61,11432.05,11857.42,1067251.03,885.82,3.03,3.14,3.06,3.22,21.17,13.635,2.7146906,FALSE,1833.79,52.45,5289,592.37
SASBDB_protein_dat\SASDE57.dat,36.71,36.17,35.98,36.31,751.53,745.41,311427.04,258.48,3.23,3.37,3.25,3.49,13.892,8.16,2.603656781,FALSE,801.43,34.67,1577,176.62
SASBDB_protein_dat\SASDE58.dat,23.66,23.45,23.39,23.5,0.05,0.05,88014.18,73.05,2.99,3.05,2.97,3.15,12.03,4.48,1.949293433,FALSE,359.79,23.23,489,54.77
SASBDB_protein_dat\SASDE59.dat,27.04,29.56,29.1,29.91,127.04,140.19,91078.24,75.59,2.04,1.98,1.91,2.05,12.732,4.528,2.321709079,FALSE,405.99,24.68,583,65.3
SASBDB_protein_dat\SASDE62.dat,51.19,49.67,49.08,50.06,0.02,0.02,507699.4,421.39,2.82,2.9,2.85,2.97,22.457,10.426,2.211782518,FALSE,1069.12,40.05,2403,269.14
SASBDB_protein_dat\SASDE63.dat,42.66,21.62,20.92,22.42,1797.16,1613.13,13982.45,11.61,2.22,1.46,1.22,1.75,27.026,39.83,0.799970399,FALSE,193.82,17.05,198,22.18
SASBDB_protein_dat\SASDE64.dat,20.12,15.61,15.37,15.81,5.07,4.83,15346.22,12.74,2.55,3.87,3.1,4.59,12.438,5.245,1.255024924,FALSE,178.97,16.38,176,19.71
SASBDB_protein_dat\SASDE65.dat,28.22,28.29,27.68,28.98,0.46,0.46,134249.5,111.43,3.09,3.06,3.06,3.06,11.482,6.064,2.463856471,FALSE,478.77,26.8,742,83.1
SASBDB_protein_dat\SASDE66.dat,61.13,61.35,61.29,61.42,127141.77,126948.53,1028295.6,853.49,2.43,2.49,2.45,2.53,23.873,15.474,2.569848783,FALSE,1814.61,52.17,5208,583.3
SASBDB_protein_dat\SASDE67.dat,34.5,35.47,35.17,35.71,1098.17,1108.91,310962.11,258.1,3.36,3.47,3.36,3.59,12.766,8.165,2.778474072,FALSE,798.48,34.61,1568,175.62
SASBDB_protein_dat\SASDE69.dat,29,27.94,27.69,28.21,137.46,135.96,110982.34,92.12,2.58,2.63,2.56,2.7,9.51,6.089,2.937960042,FALSE,430.57,25.41,636,71.23
SASBDB_protein_dat\SASDE72.dat,50.45,50,49.62,50.29,0.03,0.03,780198.95,647.57,2.88,3.03,2.93,3.11,25.428,9.101,1.966336322,FALSE,1525.53,47.84,4041,452.59
SASBDB_protein_dat\SASDE73.dat,29.08,22.77,22.43,23.13,279.72,267.19,22009.46,18.27,2.64,1.59,1.44,1.79,15.885,9.208,1.433427762,FALSE,227.75,18.48,251,28.11
SASBDB_protein_dat\SASDE74.dat,25.38,16.8,16.62,16.98,11.67,11.23,22327.38,18.53,2.64,2.82,2.67,2.92,9.809,3.159,1.712712815,FALSE,184.17,16.62,184,20.61
SASBDB_protein_dat\SASDE75.dat,26.72,28.47,27.89,29.11,0.07,0.07,152967.65,126.96,2.68,2.71,2.71,2.71,10.686,6.822,2.664233577,FALSE,524.11,28.04,847,94.86
SASBDB_protein_dat\SASDE76.dat,62.56,60.21,60.14,60.29,117240.06,118330.81,990355.22,821.99,2.47,2.54,2.49,2.59,21.99,14.838,2.738062756,FALSE,1774.83,51.6,5042,564.7
SASBDB_protein_dat\SASDE77.dat,35.19,35.66,35.45,35.83,1487.25,1490.52,310713.92,257.89,3.29,3.46,3.35,3.59,11.398,7.954,3.128619056,TRUE,797.78,34.59,1566,175.39
SASBDB_protein_dat\SASDE78.dat,38.28,37.99,37.87,38.11,0.1,0.1,293092.76,243.27,2.51,2.52,2.47,2.57,18.256,6.645,2.080959684,FALSE,787.56,34.37,1537,172.14
SASBDB_protein_dat\SASDE79.dat,31.44,31.12,30.84,31.38,217.03,216.09,114410.95,94.96,2.03,2.04,1.99,2.09,13.075,5.279,2.380114723,FALSE,455.29,26.13,690,77.28
SASBDB_protein_dat\SASDE82.dat,41.38,47.01,46.14,47.48,0.02,0.03,770838.61,639.8,2.96,3.12,3.03,3.21,25.971,7.772,1.810095876,FALSE,1548.34,48.19,4130,462.56
SASBDB_protein_dat\SASDE83.dat,24.46,20.41,20.07,20.79,346.08,335.26,14413.82,11.96,2.48,1.62,1.42,1.74,13.548,8.519,1.506495424,FALSE,195.98,17.15,201,22.51
SASBDB_protein_dat\SASDE84.dat,24.06,20.2,20.1,20.32,13.71,13.74,36109.27,29.97,2.39,2.37,2.31,2.45,17.597,28.623,1.147922941,FALSE,235.96,18.81,264,29.57
SASBDB_protein_dat\SASDE85.dat,32.47,26.67,25.68,28.8,0.16,0.15,122704.26,101.84,3.43,6.22,6.22,6.22,11.218,6.145,2.377429132,FALSE,476.13,26.72,736,82.43
SASBDB_protein_dat\SASDE86.dat,37.93,41.16,40.14,42.24,64189.74,83277.73,667988.26,554.43,3.82,3.88,3.86,3.89,19.045,12.504,2.161197165,FALSE,1333.42,44.72,3319,371.73
SASBDB_protein_dat\SASDE87.dat,36.79,36.74,36.44,37.13,127.31,131.88,312216.63,259.14,3.09,3.2,3.03,3.37,16.417,8.017,2.237924103,FALSE,821.48,35.1,1635,183.12
SASBDB_protein_dat\SASDE88.dat,35.64,36.02,35.87,36.14,0.11,0.11,207122.43,171.91,2.09,2.15,2.12,2.17,15.884,5.755,2.267690758,FALSE,628.91,30.71,1106,123.87
SASBDB_protein_dat\SASDE89.dat,29.61,30.01,29.83,30.17,335.37,340.29,105124.82,87.25,2.34,2.36,2.3,2.43,12.23,5.417,2.453802126,FALSE,443.93,25.8,665,74.48
SASBDB_protein_dat\SASDE92.dat,54.87,50.04,49.09,50.74,0.02,0.02,622594.09,516.75,2.76,2.88,2.79,2.98,24.206,11.318,2.067256052,FALSE,1313.71,44.39,3248,363.78
SASBDB_protein_dat\SASDE93.dat,32.04,29.1,28.23,29.9,466.79,478.07,43839.31,36.39,2.27,1.43,1.24,1.6,15.613,8.23,1.863831423,FALSE,302.13,21.29,379,42.45
SASBDB_protein_dat\SASDE94.dat,21.98,15.38,14.94,15.73,2.82,2.58,7084.29,5.88,2.27,2.79,2.51,3.17,11.602,5.902,1.325633511,FALSE,163.49,15.66,154,17.25
SASBDB_protein_dat\SASDE95.dat,30.82,27.22,22.15,30.31,0.07,0.06,91229.7,75.72,3.24,nan,nan,nan,10.788,5.987,2.523173897,FALSE,413.26,24.9,599,67.09
SASBDB_protein_dat\SASDE96.dat,40.29,40.94,40.58,41.32,87.25,91.85,522436.2,433.62,3.18,3.35,3.2,3.48,17.12,9.93,2.39135514,FALSE,1078.15,40.21,2433,272.5
SASBDB_protein_dat\SASDE98.dat,25.47,25.34,25.21,25.46,0.03,0.03,83702.75,69.47,2.45,2.49,2.45,2.52,12.5,3.936,2.0272,FALSE,353.84,23.04,477,53.42
SASBDB_protein_dat\SASDEA2.dat,28.16,29.23,29.1,29.37,0.01,0.01,131273.21,108.96,2.61,2.81,2.75,2.88,15.388,7.216,1.899532103,FALSE,481.27,26.87,748,83.78
SASBDB_protein_dat\SASDEA3.dat,33.36,28.5,27.82,29.16,283.98,283.81,37211.55,30.89,2.64,1.45,1.32,1.59,16.343,8.885,1.743865875,FALSE,281.39,20.54,341,38.19
SASBDB_protein_dat\SASDEA4.dat,30.07,16.72,16.43,17.12,8.49,7.69,17329.41,14.38,2.33,2.75,2.59,2.91,13.754,22.393,1.215646357,FALSE,179.53,16.41,177,19.82
SASBDB_protein_dat\SASDEA5.dat,37.04,27.08,25.33,28.62,0,0,0,0,2.82,1.78,1.78,1.78,15.912,5.321,1.701860231,FALSE,0,0,0,0
SASBDB_protein_dat\SASDEA8.dat,38.01,36.69,36.4,37.05,88.12,87.74,172226.09,142.95,2.06,2.06,2.01,2.09,14.212,6.738,2.581621165,FALSE,588.03,29.7,1003,112.34
SASBDB_protein_dat\SASDEB2.dat,52.25,26.2,23.03,37.65,187.38,24.99,50050.08,41.54,2.47,2.08,1.77,2.38,37.853,21.437,0.692151217,FALSE,177.62,16.32,174,19.49
SASBDB_protein_dat\SASDEB3.dat,21.98,24.65,23.99,25.38,4270.53,4910.67,33382.21,27.71,2.13,1.82,1.78,1.86,15.757,10.465,1.564384083,FALSE,261.84,19.82,307,34.38
SASBDB_protein_dat\SASDEB4.dat,25.08,19.92,19.82,20.03,13.72,13.76,48675.44,40.4,2.52,2.48,2.4,2.56,19.788,29.338,1.00667071,FALSE,244.05,19.13,277,31.02
SASBDB_protein_dat\SASDEB8.dat,36.46,35.88,35.27,36.45,0.92,0.92,164180.31,136.27,2.09,2.16,2.08,2.24,13.238,7.391,2.710379211,FALSE,571.4,29.28,962,107.74
SASBDB_protein_dat\SASDEB9.dat,23.43,24.42,24.08,24.82,1909.83,2051.29,62537.19,51.91,2.24,2.31,2.24,2.38,11.878,4.163,2.055901667,FALSE,314.23,21.71,401,44.91
SASBDB_protein_dat\SASDEC2.dat,65.84,38.44,35.79,41.81,263.51,96.83,158238.28,131.34,2.01,1.99,1.91,2.08,23.677,12.407,1.623516493,FALSE,463.83,26.38,709,79.41
SASBDB_protein_dat\SASDEC3.dat,41.89,29.83,28.54,31.16,7196.45,6984.17,43553.68,36.15,2.31,1.64,1.53,1.73,19.533,16.79,1.527159167,FALSE,304.35,21.37,383,42.9
SASBDB_protein_dat\SASDEC5.dat,41.04,40.74,35.67,47.13,0.19,0.18,288744.26,239.66,2.39,2.39,2.39,2.39,13.144,8.484,3.099513086,TRUE,780.67,34.22,1517,169.9
SASBDB_protein_dat\SASDEC6.dat,30.35,19.89,16.82,21.9,649566.62,549273.14,104956.15,87.11,3.54,5.92,3.91,7.47,13.781,7.682,1.443291488,FALSE,365.46,23.41,500,56
SASBDB_protein_dat\SASDEC7.dat,34.59,33.25,32.91,33.49,53.65,59.79,207592.95,172.3,3.05,3.15,3.07,3.24,16.01,6.207,2.076826983,FALSE,636.72,30.9,1126,126.11
SASBDB_protein_dat\SASDEC8.dat,33.66,36.4,34.98,38.06,1.24,1.33,203290.7,168.73,2.34,2.36,1.54,2.67,14.156,8.864,2.571347838,FALSE,645.54,31.12,1149,128.69
SASBDB_protein_dat\SASDEC9.dat,23.82,21.72,21.55,21.89,2756.6,2697.55,60234.21,49.99,2.83,2.85,2.8,2.91,10.817,4.759,2.007950448,FALSE,291.16,20.9,359,40.21
SASBDB_protein_dat\SASDED5.dat,27.03,26.91,26.84,27.03,4.89,4.86,125794.77,104.41,3.29,3.98,3.83,4.13,11.785,6.933,2.283411116,FALSE,464.88,26.41,711,79.63
SASBDB_protein_dat\SASDED6.dat,42.85,41.25,41.09,41.4,154.19,159.04,314124.13,260.72,2.82,2.85,2.79,2.92,18.233,8.201,2.262381396,FALSE,862.92,35.98,1757,196.78
SASBDB_protein_dat\SASDED7.dat,43.23,33.84,33.58,34.04,45.87,46.36,215749.82,179.07,2.8,3,2.86,3.16,17.019,5.903,1.988365944,FALSE,647.55,31.17,1155,129.36
SASBDB_protein_dat\SASDED9.dat,36.84,26.48,26.39,26.56,77.5,75,94119.76,78.12,2.53,2.57,2.53,2.61,12.149,5.533,2.17960326,FALSE,392.57,24.27,555,62.16
SASBDB_protein_dat\SASDEE2.dat,28.13,28.31,27.32,29.36,8.65,8.59,34458.41,28.6,1.46,1.38,1.06,1.8,8.787,3.173,3.221804939,TRUE,267.83,20.04,318,35.62
SASBDB_protein_dat\SASDEE6.dat,41.23,45.31,44.84,45.63,272.08,319.09,359361.72,298.27,2.4,2.45,2.39,2.5,18.078,9.116,2.506361323,FALSE,945.37,37.66,2007,224.78
SASBDB_protein_dat\SASDEE7.dat,35.17,33.75,33.52,33.91,46.28,50.15,211158.18,175.26,2.99,3.05,2.97,3.14,15.326,5.607,2.202140154,FALSE,643.45,31.07,1144,128.13
SASBDB_protein_dat\SASDEE8.dat,39.32,36.34,35.94,36.79,41.77,42.05,160446.58,133.17,1.6,1.61,1.58,1.63,14.44,4.07,2.516620499,FALSE,544.91,28.59,897,100.46
SASBDB_protein_dat\SASDEE9.dat,24.36,21.95,21.75,22.15,17.23,17.55,40449.98,33.57,2.18,2.17,2.13,2.22,9.422,3.675,2.329654001,FALSE,254.53,19.54,295,33.04
SASBDB_protein_dat\SASDEF2.dat,26.65,26.62,26.55,26.71,49.75,50.11,113861.58,94.51,3.11,3.16,3.08,3.24,11.509,6.364,2.312972456,FALSE,449.4,25.96,677,75.82
SASBDB_protein_dat\SASDEF3.dat,38.65,36.59,36.4,36.77,92.96,92.47,219329.74,182.04,2.27,2.35,2.29,2.42,16.647,6.701,2.197993632,FALSE,662.88,31.53,1195,133.84
SASBDB_protein_dat\SASDEF4.dat,22.39,16.12,16.03,16.21,14.43,13.88,20968.56,17.4,2.61,3.13,2.97,3.26,12.698,22.257,1.269491258,FALSE,178.46,16.36,175,19.6
SASBDB_protein_dat\SASDEF5.dat,42.53,34.41,34.35,34.49,21601.42,21246.89,329405.07,273.41,3.3,3.35,3.24,3.45,16.632,8.024,2.068903319,FALSE,792.65,34.48,1552,173.82
SASBDB_protein_dat\SASDEF6.dat,20.94,23.52,23.12,23.87,0.02,0.02,28896.62,23.98,2.09,1.75,1.72,1.77,10.951,4.616,2.147749064,FALSE,271.19,20.17,323,36.18
SASBDB_protein_dat\SASDEF7.dat,37.91,33.94,33.72,34.13,56.56,58.48,215550.75,178.91,2.93,3.14,3.01,3.25,17.304,6.06,1.961396209,FALSE,655.23,31.35,1175,131.6
SASBDB_protein_dat\SASDEF8.dat,42.55,38.1,37.66,38.53,64.74,65.05,170909.61,141.85,1.6,1.6,1.59,1.61,13.181,5.754,2.890524239,FALSE,568.65,29.21,955,106.96
SASBDB_protein_dat\SASDEF9.dat,50.89,45.94,43.87,48.19,46.59,42.45,203489.55,168.9,1.34,1.38,1.34,1.41,11.785,5.656,3.898175647,TRUE,614.21,30.35,1069,119.73
SASBDB_protein_dat\SASDEG2.dat,44.05,43.95,43.66,44.23,13.61,13.61,398801.03,331,2.11,2.16,2.13,2.19,17.645,10.215,2.490790592,FALSE,934.56,37.44,1974,221.09
SASBDB_protein_dat\SASDEG3.dat,44.5,36.95,36.69,37.22,121.87,119.38,218797.34,181.6,2.25,2.28,2.23,2.33,15.708,7.422,2.352304558,FALSE,661.29,31.49,1191,133.39
SASBDB_protein_dat\SASDEG4.dat,18.11,15.52,15.4,15.64,8.28,7.91,13863.41,11.51,2.52,3.17,3.01,3.39,9.651,3.08,1.608123511,FALSE,173.32,16.12,168,18.82
SASBDB_protein_dat\SASDEG5.dat,37.38,37.36,37.3,37.41,155.16,155.2,395822.95,328.53,3.31,3.43,3.31,3.54,15.56,9.346,2.401028278,FALSE,910.82,36.96,1901,212.91
SASBDB_protein_dat\SASDEG6.dat,21.48,23.46,22.95,23.92,0.02,0.02,34064.05,28.27,2.13,1.73,1.71,1.75,10.807,4.184,2.170815212,FALSE,214.07,17.92,229,25.65
SASBDB_protein_dat\SASDEG7.dat,41.89,37.35,37.18,37.52,76.39,75.07,400953.3,332.79,3.31,3.44,3.3,3.59,19.923,8.159,1.874717663,FALSE,923.08,37.21,1939,217.17
SASBDB_protein_dat\SASDEG8.dat,54.03,53.06,52.48,53.62,152.82,152.63,432183.88,358.71,2,2.07,2.02,2.12,18.196,8.446,2.9160255,FALSE,1039.26,39.48,2306,258.27
SASBDB_protein_dat\SASDEH2.dat,29.61,15.34,14.61,16,85.04,69.72,7262.05,6.03,2.47,1.52,1.33,1.73,16.113,17.281,0.952026314,FALSE,127.02,13.8,107,11.98
